HC01_VC69	HC03_VC69	HC01_VC138	HC03_VC138	HC01_VC114	HC03_VC95	HC03_VC96	HC01_VC120	HC03_VC120	HC01_VC128	HC01_VC05	HC03_VC05	HC01_VC107	HC03_VC107	Turnout16	HC01_VC23	MLE	FLE
624	6.5	216	4	46592	78.3	13.7	22120	89.6	88100	2515	20.9	27	0.3	70.87	43.6	73.5	80.2
3128	4.5	2291	6.3	58120	85.5	25.3	141978	87.1	134000	9646	13	383	0.6	68.09	40.8	75.0	79.4
180	6.5	106	5.5	34688	74.6	9.8	8482	89.1	53700	1083	24.4	40	1.2	60.10	39.3	70.0	76.3
4796	5.8	2975	6.6	54595	83.9	20	165749	87.1	130300	10861	12.7	700	0.9	68.50	40.5	73.0	79.1
357	6.3	199	6.5	42198	77.5	19.1	13815	93.1	65200	1892	24.8	69	1.2	64.84	41	70.0	76.3
469	5.7	270	5	46048	79.6	13.2	19325	89	76600	2180	21	12	0.1	69.35	40.4	70.6	76.6
4393	6.1	3636	10.4	69564	92.4	39.6	140796	81.2	273000	27286	28.8	663	1	71.06	43.6	79.2	83.5
3829	4.3	2887	6	62369	88.2	23	163866	83.4	160900	7341	9.4	230	0.3	68.01	35.6	75.0	79.7
421	6.6	320	10.5	60211	83.9	17	13539	91.6	98500	1203	16.5	71	1.2	70.70	45.8	72.7	77.8
11672	6.2	4122	5.4	72836	90.2	41.1	310033	82.5	252700	27247	15.3	897	0.6	64.34	36.8	74.7	80.6
842	3.9	619	4.6	45710	78.2	16	48386	87.1	90400	3660	15.2	133	0.7	68.23	39.1	71.6	77.6
533	4.2	505	6.7	47801	79.6	14.4	29852	93.3	89300	2329	16	78	0.6	68.22	41.3	70.1	77.7
1193	6.4	476	4.5	43957	76.6	11.5	41236	90.3	79100	3107	14.6	38	0.2	63.99	41.5	71.0	76.6
726	6.4	278	4	42715	79.5	15	29699	88.2	87200	4106	23.6	39	0.3	65.55	43.1	70.9	78.7
1476	9.7	466	5.3	41706	83.6	15.3	34180	90.9	85800	4864	24.7	112	0.8	69.01	42.2	68.4	76.5
1342	5.1	558	3.6	46508	80.9	17.1	58762	87.9	84700	3875	12.8	208	0.8	67.49	41.2	70.1	76.0
404	3.5	255	3.2	39028	72.8	9.6	27687	89.6	65800	2447	18	24	0.2	58.88	37.5	70.0	75.3
2996	4.3	2299	6.1	67534	89.9	26.4	122899	83.7	169700	4707	8.2	227	0.4	63.27	36	75.6	80.1
794	7.4	273	5.4	61970	80.3	18.6	22718	86.6	119300	1541	14.5	28	0.3	70.27	42.3	74.7	79.5
337	3.8	360	7.7	41081	82.1	17.4	21760	94.7	96300	2784	23.9	15	0.2	71.77	44.8	70.4	77.4
2979	5.1	841	2.5	54352	84.7	22.4	119731	87.5	126100	7339	12.4	381	0.7	66.64	38.5	70.5	77.2
